[2018-06-05 00:08:48,025]-logger.py]-INFO:点击登录
[2018-06-05 00:08:52,929]-logger.py]-INFO:点击信息报送
[2018-06-05 00:08:58,379]-logger.py]-INFO:切换到webview
[2018-06-05 00:10:13,949]-logger.py]-INFO:点击登录
[2018-06-05 00:10:18,912]-logger.py]-INFO:点击信息报送
[2018-06-05 00:10:24,373]-logger.py]-INFO:切换到webview
[2018-06-05 00:10:24,716]-logger.py]-INFO:点击添加联系人按钮
[2018-06-05 00:12:21,877]-logger.py]-INFO:点击登录
[2018-06-05 00:12:26,674]-logger.py]-INFO:点击信息报送
[2018-06-05 00:12:32,177]-logger.py]-INFO:切换到webview
[2018-06-05 00:12:32,570]-logger.py]-INFO:点击添加联系人按钮
[2018-06-05 00:14:07,896]-logger.py]-INFO:点击登录
[2018-06-05 00:14:12,726]-logger.py]-INFO:点击信息报送
[2018-06-05 00:14:18,221]-logger.py]-INFO:切换到webview
[2018-06-05 00:14:18,585]-logger.py]-INFO:点击添加联系人按钮
[2018-06-05 00:15:56,048]-logger.py]-INFO:点击登录
[2018-06-05 00:16:00,938]-logger.py]-INFO:点击信息报送
[2018-06-05 00:16:06,532]-logger.py]-INFO:切换到webview
[2018-06-05 00:16:06,905]-logger.py]-INFO:点击添加联系人按钮
[2018-06-05 00:17:12,088]-logger.py]-INFO:点击登录
[2018-06-05 00:17:16,969]-logger.py]-INFO:点击信息报送
[2018-06-05 00:17:22,472]-logger.py]-INFO:切换到webview
[2018-06-05 00:17:22,826]-logger.py]-INFO:点击添加联系人按钮
[2018-06-05 00:17:26,121]-logger.py]-INFO:选择执法一大队
[2018-06-05 00:17:28,434]-logger.py]-INFO:点击添加按钮
[2018-06-05 00:17:31,439]-logger.py]-INFO:随机读取文件中的某一行内容
[2018-06-05 00:17:32,265]-logger.py]-INFO:输入标题
[2018-06-05 00:17:39,120]-logger.py]-INFO:输入正文内容
[2018-06-05 00:17:42,356]-logger.py]-INFO:点击附件-图片
[2018-06-05 00:17:47,530]-logger.py]-INFO:选择文件
[2018-06-05 00:18:52,056]-logger.py]-INFO:点击登录
[2018-06-05 00:18:56,817]-logger.py]-INFO:点击信息报送
[2018-06-05 00:19:02,280]-logger.py]-INFO:切换到webview
[2018-06-05 00:19:02,853]-logger.py]-INFO:点击添加联系人按钮
[2018-06-05 00:19:06,118]-logger.py]-INFO:选择执法一大队
[2018-06-05 00:19:08,401]-logger.py]-INFO:点击添加按钮
[2018-06-05 00:19:11,402]-logger.py]-INFO:随机读取文件中的某一行内容
[2018-06-05 00:19:12,128]-logger.py]-INFO:输入标题
[2018-06-05 00:19:18,545]-logger.py]-INFO:输入正文内容
[2018-06-05 00:19:21,917]-logger.py]-INFO:点击附件-图片
