[2018-06-04 19:34:09,993]-logger.py]-INFO:点击登录
[2018-06-04 19:34:13,583]-logger.py]-INFO:点击信息报送
[2018-06-04 19:34:19,240]-logger.py]-INFO:切换到webview
[2018-06-04 19:34:19,632]-logger.py]-INFO:点击添加联系人按钮
[2018-06-04 19:34:22,855]-logger.py]-INFO:选择执法一大队
[2018-06-04 19:34:25,370]-logger.py]-INFO:点击添加按钮
[2018-06-04 19:34:28,397]-logger.py]-INFO:随机读取文件中的某一行内容
[2018-06-04 19:34:29,550]-logger.py]-INFO:输入标题
[2018-06-04 19:34:35,092]-logger.py]-INFO:输入正文内容
[2018-06-04 19:34:38,519]-logger.py]-INFO:点击附件-图片
[2018-06-04 19:34:43,421]-logger.py]-INFO:选择文件
[2018-06-04 19:34:48,656]-logger.py]-INFO:点击图库
[2018-06-04 19:34:52,266]-logger.py]-INFO:选择图片
[2018-06-04 19:35:11,419]-logger.py]-INFO:切换到webview
[2018-06-04 19:35:11,618]-logger.py]-INFO:点击附件-图片
[2018-06-04 19:35:15,412]-logger.py]-INFO:选择相机
[2018-06-04 19:35:21,598]-logger.py]-INFO:点击发送
[2018-06-04 19:37:02,513]-logger.py]-INFO:点击登录
[2018-06-04 19:39:03,224]-logger.py]-INFO:点击登录
[2018-06-04 19:40:29,269]-logger.py]-INFO:点击登录
[2018-06-04 19:41:06,958]-logger.py]-INFO:点击登录
[2018-06-04 19:42:03,614]-logger.py]-INFO:点击登录
[2018-06-04 19:43:09,028]-logger.py]-INFO:点击登录
[2018-06-04 19:43:39,023]-logger.py]-INFO:点击登录
[2018-06-04 19:44:41,599]-logger.py]-INFO:点击登录
[2018-06-04 19:45:26,140]-logger.py]-INFO:点击登录
[2018-06-04 19:47:46,985]-logger.py]-INFO:点击登录
[2018-06-04 19:52:57,566]-logger.py]-INFO:点击登录
[2018-06-04 19:54:36,822]-logger.py]-INFO:点击登录
[2018-06-04 19:56:08,509]-logger.py]-INFO:点击登录
[2018-06-04 19:57:19,278]-logger.py]-INFO:点击登录
[2018-06-04 19:59:42,578]-logger.py]-INFO:点击登录
[2018-06-04 20:01:19,308]-logger.py]-INFO:点击登录
[2018-06-04 20:02:23,342]-logger.py]-INFO:点击登录
[2018-06-04 20:03:33,042]-logger.py]-INFO:点击登录
[2018-06-04 20:03:38,603]-logger.py]-INFO:截图成功
[2018-06-04 20:04:31,666]-logger.py]-INFO:点击登录
[2018-06-04 20:04:37,113]-logger.py]-INFO:截图成功
[2018-06-04 20:05:29,585]-logger.py]-INFO:点击登录
