[2018-06-03 10:07:34,787]-logger.py]-INFO:点击登录
[2018-06-03 10:07:38,468]-logger.py]-INFO:点击GPS查询
[2018-06-03 10:07:42,582]-logger.py]-INFO:点击区域车辆
[2018-06-03 10:07:43,551]-logger.py]-INFO:选择客货运车辆
[2018-06-03 10:07:51,931]-logger.py]-INFO:选择半径
[2018-06-03 10:07:55,200]-logger.py]-INFO:点击确定
[2018-06-03 10:07:55,655]-logger.py]-INFO:点击查目标位置
[2018-06-03 10:08:30,455]-logger.py]-INFO:向下滑动
[2018-06-03 10:08:36,584]-logger.py]-INFO:使用正则匹配粤E
[2018-06-03 10:08:40,073]-logger.py]-INFO:向下滑动
[2018-06-03 10:22:29,694]-logger.py]-INFO:点击登录
[2018-06-03 10:22:33,119]-logger.py]-INFO:点击GPS查询
[2018-06-03 10:22:37,111]-logger.py]-INFO:点击区域车辆
[2018-06-03 10:22:40,028]-logger.py]-INFO:选择出租客运
[2018-06-03 10:22:45,797]-logger.py]-INFO:选择半径
[2018-06-03 10:22:49,099]-logger.py]-INFO:点击确定
[2018-06-03 10:22:49,428]-logger.py]-INFO:点击查目标位置
[2018-06-03 10:23:20,175]-logger.py]-INFO:向下滑动
[2018-06-03 10:27:35,818]-logger.py]-INFO:点击登录
[2018-06-03 10:27:39,296]-logger.py]-INFO:点击GPS查询
[2018-06-03 10:27:43,062]-logger.py]-INFO:点击区域车辆
[2018-06-03 10:27:46,079]-logger.py]-INFO:选择出租客运
[2018-06-03 10:27:49,867]-logger.py]-INFO:选择大沥汽车客运站
[2018-06-03 10:27:54,663]-logger.py]-INFO:选择半径
[2018-06-03 10:27:57,995]-logger.py]-INFO:点击确定
[2018-06-03 10:27:58,292]-logger.py]-INFO:点击查目标位置
[2018-06-03 10:28:29,175]-logger.py]-INFO:向下滑动
[2018-06-03 10:28:52,054]-logger.py]-INFO:点击登录
[2018-06-03 10:28:55,567]-logger.py]-INFO:点击GPS查询
[2018-06-03 10:28:59,608]-logger.py]-INFO:点击区域车辆
[2018-06-03 10:29:02,626]-logger.py]-INFO:选择出租客运
[2018-06-03 10:29:12,719]-logger.py]-INFO:选择大沥汽车客运站
[2018-06-03 10:29:17,564]-logger.py]-INFO:选择半径
[2018-06-03 10:29:20,853]-logger.py]-INFO:点击确定
[2018-06-03 10:29:21,321]-logger.py]-INFO:点击查目标位置
[2018-06-03 10:29:52,275]-logger.py]-INFO:向下滑动
[2018-06-03 10:30:18,267]-logger.py]-INFO:点击登录
[2018-06-03 10:30:21,698]-logger.py]-INFO:点击GPS查询
[2018-06-03 10:30:25,507]-logger.py]-INFO:点击区域车辆
[2018-06-03 10:30:28,550]-logger.py]-INFO:选择出租客运
[2018-06-03 10:30:38,587]-logger.py]-INFO:选择大沥汽车客运站
[2018-06-03 10:30:44,335]-logger.py]-INFO:选择半径
[2018-06-03 10:30:47,685]-logger.py]-INFO:点击确定
[2018-06-03 10:30:48,045]-logger.py]-INFO:点击查目标位置
[2018-06-03 10:31:18,906]-logger.py]-INFO:向下滑动
[2018-06-03 10:32:00,385]-logger.py]-INFO:点击登录
[2018-06-03 10:32:03,831]-logger.py]-INFO:点击GPS查询
[2018-06-03 10:32:07,595]-logger.py]-INFO:点击区域车辆
[2018-06-03 10:32:10,696]-logger.py]-INFO:选择出租客运
[2018-06-03 10:32:20,685]-logger.py]-INFO:选择大沥汽车客运站
[2018-06-03 10:32:23,027]-logger.py]-INFO:点击确定
[2018-06-03 10:32:26,916]-logger.py]-INFO:选择半径
[2018-06-03 10:32:30,263]-logger.py]-INFO:点击确定
[2018-06-03 10:32:30,617]-logger.py]-INFO:点击查目标位置
[2018-06-03 10:33:01,690]-logger.py]-INFO:向下滑动
[2018-06-03 10:35:36,674]-logger.py]-INFO:点击登录
[2018-06-03 10:35:40,163]-logger.py]-INFO:点击GPS查询
[2018-06-03 10:35:43,962]-logger.py]-INFO:点击区域车辆
[2018-06-03 10:35:46,888]-logger.py]-INFO:选择出租客运
[2018-06-03 10:35:56,842]-logger.py]-INFO:选择大沥汽车客运站
[2018-06-03 10:35:59,145]-logger.py]-INFO:点击确定
[2018-06-03 10:36:03,023]-logger.py]-INFO:选择半径
[2018-06-03 10:36:06,358]-logger.py]-INFO:点击确定
[2018-06-03 10:36:06,720]-logger.py]-INFO:点击查目标位置
[2018-06-03 10:36:40,457]-logger.py]-INFO:点击登录
[2018-06-03 10:36:43,909]-logger.py]-INFO:点击GPS查询
[2018-06-03 10:36:47,884]-logger.py]-INFO:点击区域车辆
[2018-06-03 10:36:48,554]-logger.py]-INFO:选择客货运车辆
[2018-06-03 10:36:56,773]-logger.py]-INFO:选择半径
[2018-06-03 10:37:00,059]-logger.py]-INFO:点击确定
[2018-06-03 10:37:00,421]-logger.py]-INFO:点击查目标位置
[2018-06-03 10:37:33,944]-logger.py]-INFO:向下滑动
[2018-06-03 10:37:59,743]-logger.py]-INFO:点击登录
[2018-06-03 10:38:03,314]-logger.py]-INFO:点击GPS查询
[2018-06-03 10:38:07,189]-logger.py]-INFO:点击区域车辆
[2018-06-03 10:38:10,200]-logger.py]-INFO:选择出租客运
[2018-06-03 10:38:16,969]-logger.py]-INFO:选择半径
[2018-06-03 10:38:20,243]-logger.py]-INFO:点击确定
[2018-06-03 10:38:27,417]-logger.py]-INFO:选择大沥汽车客运站
[2018-06-03 10:38:29,701]-logger.py]-INFO:点击确定
[2018-06-03 10:38:30,125]-logger.py]-INFO:点击查目标位置
[2018-06-03 10:39:15,764]-logger.py]-INFO:点击登录
[2018-06-03 10:39:19,342]-logger.py]-INFO:点击GPS查询
[2018-06-03 10:39:23,277]-logger.py]-INFO:点击区域车辆
[2018-06-03 10:39:26,208]-logger.py]-INFO:选择出租客运
[2018-06-03 10:39:35,499]-logger.py]-INFO:选择半径
[2018-06-03 10:39:38,787]-logger.py]-INFO:点击确定
[2018-06-03 10:39:39,149]-logger.py]-INFO:点击查目标位置
[2018-06-03 10:40:28,129]-logger.py]-INFO:点击登录
[2018-06-03 10:40:31,684]-logger.py]-INFO:点击GPS查询
[2018-06-03 10:40:35,473]-logger.py]-INFO:点击区域车辆
[2018-06-03 10:40:38,414]-logger.py]-INFO:选择出租客运
[2018-06-03 10:40:47,401]-logger.py]-INFO:选择半径
[2018-06-03 10:40:50,874]-logger.py]-INFO:点击确定
[2018-06-03 10:40:51,188]-logger.py]-INFO:点击查目标位置
[2018-06-03 10:41:29,663]-logger.py]-INFO:点击登录
[2018-06-03 10:41:33,211]-logger.py]-INFO:点击GPS查询
[2018-06-03 10:41:36,940]-logger.py]-INFO:点击区域车辆
[2018-06-03 10:41:39,944]-logger.py]-INFO:选择出租客运
[2018-06-03 10:41:46,715]-logger.py]-INFO:选择半径
[2018-06-03 10:41:50,039]-logger.py]-INFO:点击确定
[2018-06-03 10:41:50,389]-logger.py]-INFO:点击查目标位置
[2018-06-03 10:47:52,298]-logger.py]-INFO:点击登录
[2018-06-03 10:47:55,811]-logger.py]-INFO:点击GPS查询
[2018-06-03 10:47:59,890]-logger.py]-INFO:点击区域车辆
[2018-06-03 10:48:09,678]-logger.py]-INFO:选择出租客运
[2018-06-03 10:48:16,727]-logger.py]-INFO:选择半径
[2018-06-03 10:48:19,974]-logger.py]-INFO:点击确定
[2018-06-03 10:48:20,341]-logger.py]-INFO:点击查目标位置
[2018-06-03 10:48:50,878]-logger.py]-INFO:向下滑动
[2018-06-03 10:49:10,060]-logger.py]-INFO:点击登录
[2018-06-03 10:49:13,581]-logger.py]-INFO:点击GPS查询
[2018-06-03 10:49:17,643]-logger.py]-INFO:点击区域车辆
[2018-06-03 10:49:20,533]-logger.py]-INFO:选择出租客运
[2018-06-03 10:49:29,607]-logger.py]-INFO:选择半径
