[2018-05-31 19:43:03,004]-logger.py]-INFO:点击登录
[2018-05-31 19:43:05,836]-logger.py]-INFO:点击GPS查询
[2018-05-31 19:43:10,766]-logger.py]-INFO:选择客货运车辆
[2018-05-31 19:43:12,602]-logger.py]-INFO:选择黄色
[2018-05-31 19:43:16,906]-logger.py]-INFO:点击车牌下拉框
[2018-05-31 19:43:17,191]-logger.py]-INFO:点击确定
[2018-05-31 19:43:18,114]-logger.py]-INFO:输入车牌号码
[2018-05-31 19:43:18,400]-logger.py]-INFO:点击查询位置信息
[2018-05-31 19:43:23,957]-logger.py]-INFO:向下滑动
[2018-05-31 19:44:06,170]-logger.py]-INFO:点击登录
[2018-05-31 19:44:07,105]-logger.py]-INFO:点击GPS查询
[2018-05-31 19:44:11,569]-logger.py]-INFO:选择客货运车辆
[2018-05-31 19:44:13,333]-logger.py]-INFO:选择黄色
[2018-05-31 19:44:17,382]-logger.py]-INFO:点击车牌下拉框
[2018-05-31 19:44:17,640]-logger.py]-INFO:点击确定
[2018-05-31 19:44:18,383]-logger.py]-INFO:输入车牌号码
[2018-05-31 19:44:18,658]-logger.py]-INFO:点击查询位置信息
[2018-05-31 19:44:24,207]-logger.py]-INFO:向下滑动
[2018-05-31 19:44:25,117]-logger.py]-INFO:点击车辆信息
[2018-05-31 19:44:27,040]-logger.py]-INFO:向下滑动
[2018-05-31 19:44:30,912]-logger.py]-INFO:点击业户
[2018-05-31 19:44:36,180]-logger.py]-INFO:点击返回
[2018-05-31 19:44:36,646]-logger.py]-INFO:点击违章 
[2018-05-31 19:44:37,408]-logger.py]-INFO:点击返回主界面
[2018-05-31 19:44:37,763]-logger.py]-INFO:点击拍照
[2018-05-31 19:44:39,786]-logger.py]-INFO:手机返回键
[2018-05-31 19:44:57,271]-logger.py]-INFO:点击登录
[2018-05-31 19:44:58,237]-logger.py]-INFO:点击GPS查询
[2018-05-31 19:45:04,261]-logger.py]-INFO:选择客货运车辆
[2018-05-31 19:45:06,048]-logger.py]-INFO:选择黄色
[2018-05-31 19:45:10,145]-logger.py]-INFO:点击车牌下拉框
[2018-05-31 19:45:10,405]-logger.py]-INFO:点击确定
[2018-05-31 19:45:11,145]-logger.py]-INFO:输入车牌号码
[2018-05-31 19:45:11,430]-logger.py]-INFO:点击查询位置图
[2018-05-31 19:45:15,228]-logger.py]-INFO:点击详情信息
[2018-05-31 19:45:18,614]-logger.py]-INFO:点击车辆信息
[2018-05-31 19:45:54,631]-logger.py]-INFO:点击登录
[2018-05-31 19:45:55,489]-logger.py]-INFO:点击执法查询
[2018-05-31 19:45:59,492]-logger.py]-INFO:点击从业人员
[2018-05-31 19:46:01,234]-logger.py]-INFO:选择业户类别
[2018-05-31 19:46:02,422]-logger.py]-INFO:输入业户名称
[2018-05-31 19:46:04,379]-logger.py]-INFO:点击查询按钮
[2018-05-31 19:46:05,497]-logger.py]-INFO:点击车辆查询结果
[2018-05-31 19:46:11,941]-logger.py]-INFO:向下滑动
[2018-05-31 19:46:13,335]-logger.py]-INFO:点击业户
[2018-05-31 19:46:15,730]-logger.py]-INFO:点击返回
[2018-05-31 19:46:18,305]-logger.py]-INFO:点击业户
[2018-05-31 19:46:20,795]-logger.py]-INFO:点击返回主界面
[2018-05-31 19:46:57,123]-logger.py]-INFO:点击登录
[2018-05-31 19:46:57,925]-logger.py]-INFO:点击GPS查询
[2018-05-31 19:47:02,328]-logger.py]-INFO:选择客货运车辆
[2018-05-31 19:47:04,099]-logger.py]-INFO:选择黄色
[2018-05-31 19:47:08,015]-logger.py]-INFO:点击车牌下拉框
[2018-05-31 19:47:08,275]-logger.py]-INFO:点击确定
[2018-05-31 19:47:09,142]-logger.py]-INFO:输入车牌号码
[2018-05-31 19:47:09,367]-logger.py]-INFO:点击查询位置信息
[2018-05-31 19:47:15,057]-logger.py]-INFO:向下滑动
[2018-05-31 19:47:48,637]-logger.py]-INFO:点击登录
[2018-05-31 19:47:49,363]-logger.py]-INFO:点击GPS查询
[2018-05-31 19:47:53,709]-logger.py]-INFO:选择客货运车辆
[2018-05-31 19:47:55,459]-logger.py]-INFO:选择黄色
[2018-05-31 19:47:59,500]-logger.py]-INFO:点击车牌下拉框
[2018-05-31 19:47:59,772]-logger.py]-INFO:点击确定
[2018-05-31 19:48:00,563]-logger.py]-INFO:输入车牌号码
[2018-05-31 19:48:00,843]-logger.py]-INFO:点击查询位置信息
[2018-05-31 19:48:06,322]-logger.py]-INFO:向下滑动
[2018-05-31 19:48:07,149]-logger.py]-INFO:点击车辆信息
[2018-05-31 19:48:08,773]-logger.py]-INFO:向下滑动
[2018-05-31 19:48:12,715]-logger.py]-INFO:点击业户
[2018-05-31 19:48:17,996]-logger.py]-INFO:点击返回
[2018-05-31 19:48:18,532]-logger.py]-INFO:点击违章 
[2018-05-31 19:48:19,233]-logger.py]-INFO:点击返回主界面
[2018-05-31 19:48:19,853]-logger.py]-INFO:点击拍照
[2018-05-31 19:48:21,906]-logger.py]-INFO:手机返回键
[2018-05-31 19:48:39,678]-logger.py]-INFO:点击登录
[2018-05-31 19:48:40,763]-logger.py]-INFO:点击GPS查询
[2018-05-31 19:48:46,456]-logger.py]-INFO:选择客货运车辆
[2018-05-31 19:48:48,113]-logger.py]-INFO:选择黄色
[2018-05-31 19:48:51,913]-logger.py]-INFO:点击车牌下拉框
[2018-05-31 19:48:52,217]-logger.py]-INFO:点击确定
[2018-05-31 19:48:52,837]-logger.py]-INFO:输入车牌号码
[2018-05-31 19:48:53,099]-logger.py]-INFO:点击查询位置图
[2018-05-31 19:48:56,955]-logger.py]-INFO:点击详情信息
[2018-05-31 19:49:00,275]-logger.py]-INFO:点击车辆信息
[2018-05-31 19:49:18,144]-logger.py]-INFO:点击登录
[2018-05-31 19:49:18,945]-logger.py]-INFO:点击执法查询
[2018-05-31 19:49:24,463]-logger.py]-INFO:选择客货运车辆
[2018-05-31 19:49:24,766]-logger.py]-INFO:点击车牌下拉框
[2018-05-31 19:49:26,280]-logger.py]-INFO:滑动下拉
[2018-05-31 19:49:26,535]-logger.py]-INFO:点击确定
[2018-05-31 19:49:27,286]-logger.py]-INFO:输入车牌号码
[2018-05-31 19:49:27,712]-logger.py]-INFO:点击查询按钮
[2018-05-31 19:50:17,597]-logger.py]-INFO:点击登录
[2018-05-31 19:50:18,689]-logger.py]-INFO:点击执法查询
[2018-05-31 19:50:22,566]-logger.py]-INFO:点击业户
[2018-05-31 19:50:24,377]-logger.py]-INFO:选择业户类别
[2018-05-31 19:50:24,929]-logger.py]-INFO:输入业户名称
[2018-05-31 19:50:25,498]-logger.py]-INFO:点击查询按钮
[2018-05-31 19:50:54,821]-logger.py]-INFO:滑动操作
[2018-05-31 19:50:56,155]-logger.py]-INFO:点击车辆查询结果
[2018-05-31 19:50:56,467]-logger.py]-INFO:点击返回
[2018-05-31 19:50:59,070]-logger.py]-INFO:点击车辆查询结果
[2018-05-31 19:51:01,524]-logger.py]-INFO:点击返回主界面
[2018-05-31 19:51:25,704]-logger.py]-INFO:点击登录
[2018-05-31 19:51:26,562]-logger.py]-INFO:点击执法查询
[2018-05-31 19:51:30,388]-logger.py]-INFO:点击从业人员
[2018-05-31 19:51:32,045]-logger.py]-INFO:选择业户类别
[2018-05-31 19:51:33,296]-logger.py]-INFO:输入业户名称
[2018-05-31 19:51:33,797]-logger.py]-INFO:点击查询按钮
[2018-05-31 19:51:34,922]-logger.py]-INFO:点击车辆查询结果
[2018-05-31 19:51:41,358]-logger.py]-INFO:向下滑动
[2018-05-31 19:51:42,520]-logger.py]-INFO:点击业户
[2018-05-31 19:51:44,819]-logger.py]-INFO:点击返回
[2018-05-31 19:51:47,295]-logger.py]-INFO:点击业户
[2018-05-31 19:51:49,779]-logger.py]-INFO:点击返回主界面
[2018-05-31 19:52:13,631]-logger.py]-INFO:点击登录
[2018-05-31 19:52:14,512]-logger.py]-INFO:点击执法查询
[2018-05-31 19:52:19,964]-logger.py]-INFO:选择客货运车辆
[2018-05-31 19:52:20,236]-logger.py]-INFO:点击车牌下拉框
[2018-05-31 19:52:23,450]-logger.py]-INFO:滑动下拉
[2018-05-31 19:52:23,728]-logger.py]-INFO:点击确定
[2018-05-31 19:52:24,462]-logger.py]-INFO:输入车牌号码
[2018-05-31 19:52:24,913]-logger.py]-INFO:点击查询按钮
[2018-05-31 19:52:29,753]-logger.py]-INFO:点击车辆查询结果
[2018-05-31 19:52:33,440]-logger.py]-INFO:点击业户
[2018-05-31 19:52:39,823]-logger.py]-INFO:向下滑动
[2018-05-31 19:52:40,592]-logger.py]-INFO:向上滑动
[2018-05-31 19:52:41,510]-logger.py]-INFO:点击返回
[2018-05-31 19:52:42,025]-logger.py]-INFO:点击违章 
[2018-05-31 19:52:42,621]-logger.py]-INFO:点击返回主界面
[2018-05-31 19:52:42,893]-logger.py]-INFO:点击拍照
[2018-05-31 19:52:44,975]-logger.py]-INFO:手机返回键
[2018-05-31 19:53:21,569]-logger.py]-INFO:点击登录
[2018-05-31 19:53:22,347]-logger.py]-INFO:点击GPS查询
