[2018-05-29 00:09:13,218]-logger.py]-INFO:点击车辆查询结果
[2018-05-29 00:09:19,640]-logger.py]-INFO:向下滑动
[2018-05-29 00:09:20,735]-logger.py]-INFO:点击业户
[2018-05-29 00:09:23,023]-logger.py]-INFO:点击返回
[2018-05-29 00:09:25,582]-logger.py]-INFO:点击业户
[2018-05-29 00:09:28,161]-logger.py]-INFO:点击返回主界面
[2018-05-29 00:09:47,679]-logger.py]-INFO:点击登录
[2018-05-29 00:09:48,584]-logger.py]-INFO:点击执法查询
[2018-05-29 00:09:52,290]-logger.py]-INFO:点击业户
[2018-05-29 00:09:54,138]-logger.py]-INFO:选择业户类别
[2018-05-29 00:09:54,667]-logger.py]-INFO:输入业户名称
[2018-05-29 00:09:55,171]-logger.py]-INFO:点击查询按钮
[2018-05-29 00:10:25,276]-logger.py]-INFO:滑动操作
[2018-05-29 00:10:26,836]-logger.py]-INFO:点击车辆查询结果
[2018-05-29 00:10:27,148]-logger.py]-INFO:点击返回
[2018-05-29 00:10:29,892]-logger.py]-INFO:点击车辆查询结果
[2018-05-29 00:10:32,400]-logger.py]-INFO:点击返回主界面
