[2018-06-06 08:37:09,854]-logger.py]-INFO:点击登录
[2018-06-06 08:37:16,800]-logger.py]-INFO:test_work_send 脚本运行正常
[2018-06-06 08:37:47,875]-logger.py]-INFO:点击登录
[2018-06-06 08:37:54,936]-logger.py]-INFO:test_work_send 脚本运行正常
[2018-06-06 08:40:51,598]-logger.py]-INFO:点击登录
[2018-06-06 08:40:58,254]-logger.py]-INFO:test_work_send 脚本运行正常
[2018-06-06 08:42:34,950]-logger.py]-INFO:点击登录
[2018-06-06 08:42:54,211]-logger.py]-INFO:test_work_send 截图成功
[2018-06-06 08:43:59,016]-logger.py]-INFO:点击登录
[2018-06-06 08:44:18,692]-logger.py]-INFO:test_work_send 截图成功
[2018-06-06 08:45:19,882]-logger.py]-INFO:点击登录
[2018-06-06 08:45:26,776]-logger.py]-INFO:test_work_send 脚本运行正常
[2018-06-06 08:45:43,024]-logger.py]-INFO:test_work_send2 截图成功
[2018-06-06 08:49:15,883]-logger.py]-INFO:点击登录
[2018-06-06 08:49:22,723]-logger.py]-INFO:test_work_send 脚本运行正常
[2018-06-06 08:49:38,939]-logger.py]-INFO:test_work_send2 截图成功
[2018-06-06 14:02:47,206]-logger.py]-INFO:点击登录
[2018-06-06 14:02:51,640]-logger.py]-INFO:test_work_send 脚本运行正常
[2018-06-06 14:03:48,205]-logger.py]-INFO:点击登录
[2018-06-06 14:03:52,716]-logger.py]-INFO:test_work_send 脚本运行正常
[2018-06-06 14:05:31,787]-logger.py]-INFO:点击登录
[2018-06-06 14:05:36,035]-logger.py]-INFO:test_work_send 截图成功
[2018-06-06 14:06:25,983]-logger.py]-INFO:点击登录
[2018-06-06 14:06:29,781]-logger.py]-INFO:test_work_send 截图成功
[2018-06-06 18:27:19,697]-logger.py]-INFO:点击登录
[2018-06-06 18:27:23,532]-logger.py]-INFO:test_work_send 截图成功
[2018-06-06 18:28:29,144]-logger.py]-INFO:点击登录
[2018-06-06 18:28:32,877]-logger.py]-INFO:test_work_send 截图成功
[2018-06-06 18:29:35,194]-logger.py]-INFO:点击登录
[2018-06-06 18:29:55,435]-logger.py]-INFO:点击信息报送
[2018-06-06 18:29:59,984]-logger.py]-INFO:切换到webview
[2018-06-06 18:30:00,602]-logger.py]-INFO:点击添加联系人按钮
[2018-06-06 18:30:03,812]-logger.py]-INFO:选择执法一大队
[2018-06-06 18:30:06,017]-logger.py]-INFO:点击添加按钮
[2018-06-06 18:30:09,045]-logger.py]-INFO:随机读取文件中的某一行内容
[2018-06-06 18:30:09,939]-logger.py]-INFO:输入标题
[2018-06-06 18:30:16,070]-logger.py]-INFO:输入正文内容
[2018-06-06 18:30:30,400]-logger.py]-INFO:test_work_send 截图成功
[2018-06-06 20:00:36,944]-logger.py]-INFO:点击登录
[2018-06-06 20:00:39,584]-logger.py]-INFO:test_zfcx_car 截图成功
[2018-06-06 20:00:55,902]-logger.py]-INFO:点击登录
[2018-06-06 20:00:56,619]-logger.py]-INFO:点击执法查询
[2018-06-06 20:01:09,540]-logger.py]-INFO:test_zfcx_cyry 截图成功
[2018-06-06 20:01:25,424]-logger.py]-INFO:点击登录
[2018-06-06 20:01:26,054]-logger.py]-INFO:点击执法查询
[2018-06-06 20:01:38,974]-logger.py]-INFO:test_zfcx_yh 截图成功
[2018-06-06 20:01:53,502]-logger.py]-INFO:点击登录
[2018-06-06 20:01:56,919]-logger.py]-INFO:点击GPS查询
[2018-06-06 20:02:00,960]-logger.py]-INFO:点击区域车辆
[2018-06-06 20:02:01,667]-logger.py]-INFO:选择客货运车辆
[2018-06-06 20:02:09,825]-logger.py]-INFO:选择半径800
[2018-06-06 20:02:13,124]-logger.py]-INFO:点击确定
[2018-06-06 20:02:13,474]-logger.py]-INFO:点击查目标位置
[2018-06-06 20:02:46,410]-logger.py]-INFO:向下滑动
[2018-06-06 20:02:52,435]-logger.py]-INFO:使用正则匹配粤E
[2018-06-06 20:02:56,590]-logger.py]-INFO:向下滑动
[2018-06-06 20:03:09,864]-logger.py]-INFO:test_gps_car 截图成功
[2018-06-06 20:03:27,587]-logger.py]-INFO:test_gps_car2 截图成功
[2018-06-06 20:03:43,509]-logger.py]-INFO:点击登录
[2018-06-06 20:03:44,156]-logger.py]-INFO:点击GPS查询
[2018-06-06 20:03:46,839]-logger.py]-INFO:test_gps_car 截图成功
